,result,table,_start,_stop,_time,_value,_field,_measurement,host,timestamp
,,642,2022-03-28T07:24:03.456036927Z,2022-03-28T10:24:03.456036927Z,2022-03-28T09:11:00Z,-23,delta,delta_block_time,xmev-capture,1648458629587
,,643,2022-03-28T07:24:03.456036927Z,2022-03-28T10:24:03.456036927Z,2022-03-28T08:43:00Z,3969,delta,delta_block_time,xmev-capture,1648456976365
,,644,2022-03-28T07:24:03.456036927Z,2022-03-28T10:24:03.456036927Z,2022-03-28T10:03:00Z,-45,delta,delta_block_time,xmev-capture,1648461731761
,,645,2022-03-28T07:24:03.456036927Z,2022-03-28T10:24:03.456036927Z,2022-03-28T07:32:00Z,-17,delta,delta_block_time,xmev-capture,1648452685272
,,646,2022-03-28T07:24:03.456036927Z,2022-03-28T10:24:03.456036927Z,2022-03-28T07:36:00Z,-37,delta,delta_block_time,xmev-capture,1648452945460
,,647,2022-03-28T07:24:03.456036927Z,2022-03-28T10:24:03.456036927Z,2022-03-28T09:09:00Z,-24,delta,delta_block_time,xmev-capture,1648458489508
,,648,2022-03-28T07:24:03.456036927Z,2022-03-28T10:24:03.456036927Z,2022-03-28T09:54:00Z,-45,delta,delta_block_time,xmev-capture,1648461183413
,,649,2022-03-28T07:24:03.456036927Z,2022-03-28T10:24:03.456036927Z,2022-03-28T07:47:00Z,-48,delta,delta_block_time,xmev-capture,1648453597929
,,650,2022-03-28T07:24:03.456036927Z,2022-03-28T10:24:03.456036927Z,2022-03-28T07:55:00Z,-10,delta,delta_block_time,xmev-capture,1648454042279
,,651,2022-03-28T07:24:03.456036927Z,2022-03-28T10:24:03.456036927Z,2022-03-28T09:33:00Z,-21,delta,delta_block_time,xmev-capture,1648459934508

